UF Inventory Number,Type,Manufacturer,Model,Description,Serial Number,Location,Room,Manual,Last Calibrated,Calibration Doc,Calibration Expires,OCO Decal No.,Source Grant
,Amplifier,National Instruments,SCXI-1102C,32-Channel 10kHz Bandwidth Amplifier,1045AB5,Coastal,,,,,,,
,Amplifier,National Instruments,SCXI-1102C,"32-Channel Amplifier Module, 10 kHz Bandwidth",,Weil,112,,,,,,
,Amplifier,National Instruments,SCXI-1102C,"32-Channel Amplifier Module, 10 kHz Bandwidth",,Weil,112,,,,,,
,Amplifier,National Instruments,SCXI-1102C,"32-Channel Amplifier Module, 10 kHz Bandwidth",,Weil,112,,,,,,
,Amplifier,National Instruments,SCXI-1125,8 ch Programmable Isolated Input Module,C84D4D,Weil,112,,,,,,
4910US100871,Analog DAQ,Endevco,4990,2MHz DAQ,,Powell,100,,,,,,
,Battery Pack,National Instruments,SCXI-1382,Battery Pack,D85D60,Coastal,,,,,,,
,Battery Pack,National Instruments,SCXI-1382,Battery Pack,D65D4F,Coastal,,,,,,,
,Chassis,National Instruments,cDAQ-9172,CompactDAQ chassis (8 slot USB),133DFA3,Powell,101,X,,,,,
000000247635,Chassis,National Instruments,cDAQ-9172,CompactDAQ chassis (8 slot USB),1371947,Weil,112,X,,,,,
,Chassis,National Instruments,cDAQ-9172,CompactDAQ chassis (8 slot USB),1380A91,Weil,112,X,,,,,
,Chassis,National Instruments,cDAQ-9174,CompactDAQ chassis (4 slot USB),1600132,Weil,128,X,,,,,
,Chassis,National Instruments,cRIO-9012,Embedded real-time controller,00802F176DB8,Powell,T2,X,,,,,
,Chassis,National Instruments,cRIO-9012,Embedded real-time controller,,Powell,T5,X,,,,,
,Chassis,National Instruments,cRIO-9112,DAQ Real-time Controller Chasis,196CF62,Powell,101,X,,,,,
,Chassis,National Instruments,PXI-1033,DAQ Chassis,1316F14,Powell,101,,,,,,
,Chassis,National Instruments,PXI-1050,DAQ Chassis,,Powell,100,,,,,,
,Chassis,National Instruments,PXI-4052,DAQ Chassis,170E8D1,Powell,125,,,,,,
,Chassis,National Instruments,SCXI-1000,DAQ Chassis,A6376F,Weil,112,,,,,,
4910-AA-178109,Chassis,National Instruments,SCXI-1000DC,"4-Slot Chassis, DC-Powered",104B2F2,Coastal,,,,,,,
,Chassis,National Instruments,SCXI-1000DC,"4-Slot Chassis, DC-Powered",104B2F3,Coastal,,,,,,,
,Chassis,National Instruments,SCXI-1000DC,"4-Slot Chassis, DC-Powered",1052ED8,Weil,112,,,,,,
,Chassis,National Instruments,SCXI-1000DC,"4-Slot Chassis, DC-Powered",106B680,Weil,112,,,,,,
,Chassis,National Instruments,SCXI-1000DC,"4-Slot Chassis, DC-Powered",103E314,Weil,112,,,,,,
,Chassis,National Instruments,SCXI-1346,Multi-Chassis Adapter,,Coastal,,,,,,,
,Chassis,National Instruments,SCXI-1349,Multi-Chassis Adapter,,Coastal,,,,,,,
000000268259,Computer,Dell,Adamo,Laptop,"""P0010""",Powell,101,,,,,,
000000270196,Computer,Dell,GOBI2000,Laptop,8N691M1,Powell,101,,,,,,
10991,Computer,Dell,PP04X,Laptop,"""P0003""",Powell,101,,,,,,
10992,Computer,Dell,PP04X,Laptop,"""P0004""",Powell,101,,,,,,
10993,Computer,Dell,PP04X,Laptop,"""P0005""",Powell,101,,,,,,
10994,Computer,Dell,PP04X,Laptop,48P4XG1,Powell,101,,,,,,
10997,Computer,Dell,PP04X,Laptop,C8P4XG1,Powell,101,,,,,,
10982,Computer,Dell,PP04X,Laptop,HYHW4H1,Powell,101,,,,,,
10996,Computer,Dell,PP04X,Laptop,88P4XG1,Powell,101,,,,,,
000000225924,Computer,Dell,PP05XA,Laptop,5TW0SG1,Powell,101,,,,,,
000000253204,Computer,Dell,PP18L,Laptop,"""P0006""",Powell,101,,,,,,
11107,Computer,Dell,PP195,Laptop,"""P0008""",Powell,101,,,,,,
4910AA177263,Computer,Gateway,400SD4,Laptop,0030297515,Powell,101,,,,,,
4910AA178756,Computer,Gateway,400SD4,Laptop,0030301033,Powell,101,,,,,,
10482,Computer,Gateway,400SD4,Laptop,0030301034,Powell,101,,,,,,
4910AA176401,Computer,Gateway,400SD4,Laptop,0029627477,Powell,101,,,,,,
10936,Computer,Origami,T700,Ultra Mobile PC,T7006492A0188,Powell,101,,,,,,
000000279194,Computer,Xplore,iX104,Laptop,"""P0007""",Powell,101,,,,,,
,Connector Block,National Instruments,SCB-100,Shielded I/O Connector Block for DAQ Devices with 100-Pin Connectors,,Powell,Trailer,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,10BDC31,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,1154118,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,14074E5,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,170F9B8,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,104113C,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,D69FDE,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,10BDC21,Powell,101,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,1431C8B,Powell,125,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,D6FD4F,Powell,125,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,14070FB,Powell,100,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,115DBF0,Powell,100,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,,Powell,Trailer,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,1278089,Powell,Trailer,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,,Powell,Trailer,,,,,,
,Connector Block,National Instruments,SCB-68,Shielded I/O Connector Block for DAQ Devices with 68-Pin Connectors,,Powell,Trailer,,,,,,
,Connector Block,National Instruments,SCXI-1300,"Low-Voltage Screw Terminal Block for use with SCXI-1100, SCXI-1102 Series, and SCXI-1104 modules",104F0F1,Coastal,,,,,,,
,Connector Block,National Instruments,SCXI-1300,"Low-Voltage Screw Terminal Block for use with SCXI-1100, SCXI-1102 Series, and SCXI-1104 modules",104F0F3,Coastal,,,,,,,
,Connector Block,National Instruments,SCXI-1305,AC/DC Coupling BNC Terminal Block,C8A45A,Weil,112,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,16ED315,Powell,125,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,16ED307,Powell,125,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,143B6F0,Powell,100,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,,Powell,100,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,104A5CB,Weil,112,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,104A5D6,Coastal,,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,104A5F1,Coastal,,,,,,,
