UF Inventory Number,Type 1,Type 2,Manufacturer,Model,Description,Serial Number,Range Min,Range Max,Range Units,Output Min,Output Max,Output Units,Excitation (V),Interface Protocol,Location,Room,Manual,Last Calibrated,Calibration Doc,Calibration Expires,OCO Decal No.,Source Grant
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11779,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11778,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11781,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11777,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11782,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Endevco,2255B-1,Isotron PE Accelerometer,11780,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler,8624,Accelerometer,C17270,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler,8624,Accelerometer,C17401,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler,8624,Accelerometer,C17413,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler,8628A50,Accelerometer,C83722,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler,8742A20,Accelerometer,C192213,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A20,Accelerometer,C192214,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C191852,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C191854,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C191850,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C191853,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C192208,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C190435,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C192209,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C190434,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C191851,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler,8742A5,Accelerometer,C160025,,,,,,,,,Powell,101,X,,,,,
,Acceleration,,Kistler ,8624,Accelerometer,C17274,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler ,8628A50,Accelerometer,C83724,,,,,,,,,Powell,101,,,,,,
,Acceleration,,Kistler ,8628A50,Accelerometer,C83725,,,,,,,,,Powell,101,,,,,,
,Acceleration,,MicroStrain,3DM-GX1,Wireless 3-axes Accelerometer,4100-2676,,,,,,,,,Powell,101,,,,,,
,Acceleration,,MicroStrain,3DM-GX1,Wireless 3-axes Accelerometer,4100-2675,,,,,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,305A04,Accelerometer,12212,,,,,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,305A04,Accelerometer,12216,,,,,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,305A04,Accelerometer,12210,,,,,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,305A04,Accelerometer,12217,,,,,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,353B15,Shear Accelerometer,22771,,,,8.8 V,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,353B15,Shear Accelerometer,22687,,,,8.3 V,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,353B15,Shear Accelerometer,22770,,,,8.7 V,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,353B15,Shear Accelerometer,22689,,,,8.3 V,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,353B15,Shear Accelerometer,22688,,,,8.2 V,,,,,Powell,101,,,,,,
,Acceleration,,PCB Piezotronics,3711B112G,Accelerometer,,,,,,,,,,Powell,125,X,,,,,
,Acceleration,,PCB Piezotronics,3711B112G,Accelerometer,,,,,,,,,,Powell,125,X,,,,,
,Acceleration,,PCB Piezotronics,3711B112G,Accelerometer,,,,,,,,,,Powell,125,X,,,,,
