UF Inventory Number,Type,Manufacturer,Model,Description,Serial Number,Location,Room,Manual,OCO Decal No.,Source Grant
,Rangefinder,Bushnell,20-0015,Yardage Pro Sport Range Finder,051881,Powell,101,X,,
,Rangefinder,Bushnell,20-0015,Yardage Pro Sport Range Finder,051713,Powell,101,X,,
,Rangefinder,Bushnell ,20-0015,Yardage Pro Sport Range Finder,057233,Powell,101,X,,
000000251290,Camera,Canon,EOS 40D,Digital Camera,,Powell,101,,,
,Camera,Canon,PC1225 A570IS Power Shot,Digital Camera,4722181196,Powell,101,,,
,Camera,Canon,Ultrasonic 100mm 1:2.8,Camera Lens,"""P0001""",Powell,101,,,
,Camera,Canon ,Ultrasonic N118 28-135 mm,Image Stabilizer,,Powell,101,,,
,Camera,Casio,Exilim EX-ZR100 24mm 12.5x,Digital Camera,30001125A,Powell,101,,,
,Camera,Casio ,Exilim EX-ZR100 24mm 12.5x,Digital Camera,30001123A,Powell,101,,,
,Camera,Fujnon,1:1.2 12.5-75mm,Camera Lens,188766,Powell,101,,,
,Video,GoPro,Hero3+,Mobile Camera,"""P0024""",Powell,101,,,
,Video,GoPro,Hero3+,Mobile Camera,"""P0025""",Powell,101,,,
,VGA Converter,NAC Image Technology,4H2024-1,VGA Converter,1022,Powell,101,,,
4910US100869,Video,NAC Image Technology,V-153,Video Camera,1102,Powell,101,,,
,Camera Lens,Nikon,29778 50mm,Camera Lens,382637,Powell,100,,,
,Camera Lens,Nikon,42664 85mm,Camera Lens,468649,Powell,100,,,
,Camera Lens,Nikon,61739 20mm,Camera Lens,504988,Powell,100,,,
,Camera,Olympus,Stylus 400 Digital,Digital Camera,133685695,Powell,101,,,
,Camera,Olympus,Stylus 790 SW 7.1 Megapixel,Digital Camera,E06523781,Powell,101,,,
,Camera,Olympus,VG-140,Digital Camera,UM4036348,Powell,101,,,
,Video,Optitrack,Optihub 2,Infared Motion-Tracking Cameras,137721,Powell,125,,,
,Video,Panasonic,HDC-HS9,Videocamera,C8SA10714,Powell,101,,,
,Video,Panasonic,SDR-H40P,Videocamera,B8IA16250,Powell,101,,,
000000246967,Video,Phantom,V5.2C,Video Camera,VR05087854,Powell,100,,,
,Camera Lens,Quantaray,35mm,Camera Lens,1027343,Powell,101,,,
,Camera Lens,Rokinon,1:1.4 24mm,Camera Lens,,Powell,100,,,
000000251289,Videocamera,Sony,HDR-SR12 HD AVCHD 10.2 Megapixels,Handycam Videocamera,"""P0002"" ",Powell,101,,,
